electricity_cost,billing_periods,heated_square_footage,engineered_total_square_footage,heating_degree_days,cooling_degree_days,NUMFRIG,NUMFREEZ,NUMLAPTOP,NUMTABLET,NUMSMPHONE,NUMCFAN,NUMFLOORFAN,NUMWWAC,NUMPORTAC,NUMMEAL,state_postal,BA_climate,IECC_climate_code,KOWNRENT,home_size,num_appliances,temp_hdd,temp_cdd,temp_degree_days,bill_amount,bill_per_period,month_periods,log_bill_amount
1032.3,1,1600,2000,6431,575,2,0,0,2,1,0,0,2.0,0.0,3,VT,Cold,6A,1,1600,10.0,6431,575,7006,1032.3,1032.3,1,6.939544601471544
620.66,1,1100,1100,5709,838,1,0,1,1,2,3,0,0.0,0.0,3,MI,Cold,5A,2,1100,11.0,5709,838,6547,620.66,620.66,1,6.4307834279726555
561.92,1,1550,1550,3809,1537,2,0,0,0,0,2,0,0.0,0.0,4,MD,Mixed-Humid,4A,1,1550,8.0,3809,1537,5346,561.92,561.92,1,6.3313594910066975
579.3,1,580,580,8076,598,1,0,0,0,3,0,1,1.0,0.0,1,ND,Cold,6A,2,580,7.0,8076,598,8674,579.3,579.3,1,6.361820478102579
1260.23,1,1150,1150,2536,1815,1,0,0,1,1,0,0,0.0,0.0,2,SC,Mixed-Humid,3A,2,1150,5.0,2536,1815,4351,1260.23,1260.23,1,7.139049522969723
2122.35,2,2560,2560,4460,341,2,0,4,1,6,0,0,0.0,0.0,3,OR,Marine,4C,1,2560,16.0,4460,341,4801,2122.35,1061.175,2,7.660279244310071
1800.73,1,1350,1350,100,4873,1,0,2,2,2,3,0,0.0,0.0,4,FL,Hot-Humid,1A,1,1350,14.0,100,4873,4973,1800.73,1800.73,1,7.495947417224385
2085.51,1,2760,2760,4319,1571,2,0,2,1,2,3,0,0.0,0.0,4,MO,Mixed-Humid,4A,1,2760,14.0,4319,1571,5890,2085.51,2085.51,1,7.64276870863869
434.7,1,900,900,4556,1186,1,0,0,0,0,0,0,0.0,0.0,2,NJ,Mixed-Humid,4A,2,900,3.0,4556,1186,5742,434.7,434.7,1,6.074656137994746
1193.44,1,1800,1800,706,3547,1,0,2,2,1,4,0,0.0,0.0,1,FL,Hot-Humid,2A,2,1800,11.0,706,3547,4253,1193.44,1193.44,1,7.084595172206853
